x,y,z,t,c,intensity
221.9521,122.7855,20.7191,1,1,45633.4531
232.8312,122.4893,18.0165,1,1,65105.2773
234.3576,112.6130,5.2202,1,1,57122.7969
291.0796,91.3394,2.8885,1,1,65534.7852
300.8602,83.5547,4.0129,1,1,59454.5000
303.4040,90.7654,4.9707,1,1,57822.3477
312.3167,79.3757,7.2344,1,1,65486.8203
315.1645,95.7792,10.5377,1,1,55024.2617
330.1737,83.0594,21.8672,1,1,65500.8477
295.8232,98.0338,4.0839,1,1,65458.4688
240.4016,113.0227,6.2696,1,1,64948.6641
247.3633,113.2045,5.5512,1,1,63313.6484
254.0567,120.3415,12.1254,1,1,54612.7305
295.8980,129.1037,28.7538,1,1,65535.0039
296.1750,129.5882,26.3616,1,1,65534.8750
304.9286,121.7717,27.7590,1,1,44584.2344
223.7963,132.1549,31.4233,1,1,43996.1875
251.9666,103.9791,83.9942,1,1,50800.6641
273.7519,116.9561,77.3605,1,1,56174.5313
232.2838,99.7882,88.0649,1,1,57404.8750
191.9549,103.0648,93.4408,1,1,21182.7910
213.2829,97.2986,90.5136,1,1,20339.4336
226.8470,80.3936,90.3994,1,1,23653.1348
213.0096,125.8538,71.7378,1,1,65533.3906
184.2841,132.1557,42.7389,1,1,37588.2930
231.9623,134.1843,37.1494,1,1,65534.1836
203.9148,132.3959,44.8271,1,1,32956.9922
209.1785,132.2929,51.3412,1,1,53327.8828
248.6420,134.8145,51.5358,1,1,50796.9258
259.7781,131.1338,59.7717,1,1,60387.3438
278.2894,131.7729,58.2467,1,1,64902.7266
328.3885,107.8675,35.8845,1,1,35869.1641
337.6211,86.0793,38.4801,1,1,51571.3594
319.0029,116.8501,53.0542,1,1,46649.2969
288.8659,78.0433,83.7119,1,1,59718.5039
317.0315,79.7382,74.0508,1,1,64507.5859
317.6106,87.2935,73.2523,1,1,65535.0039
288.7807,118.0710,73.3446,1,1,57318.3516
291.4239,131.8199,39.8832,1,1,65375.6406
310.6796,127.1079,42.8214,1,1,65532.4336
279.0652,133.1021,49.0915,1,1,60124.3320
293.4558,129.4208,52.5308,1,1,56584.2578
294.6154,125.4789,60.0867,1,1,53373.7773
304.7529,128.5927,51.9306,1,1,45036.7500
